"Lat: -0.5, Long: -1.5, over the ocean",year,obs_anoms,smoothed_anoms,rcp26,rcp45,rcp60,rcp85,uncertainty
0,1850,-0.931,-0.669368512,,,,,0.7
1,1851,-0.473,-0.605877564,,,,,0.6
2,1852,-0.262,-0.545332902,,,,,0.6
3,1853,-0.433,-0.480896192,,,,,0.7
4,1854,-0.798,-0.437428152,,,,,0.65
5,1855,-0.331,-0.455541356,,,,,0.7
6,1856,-0.278,-0.438641077,,,,,0.6
7,1857,-0.596,-0.362729071,,,,,0.6
8,1858,-0.454,-0.31780418,,,,,0.7
9,1859,0.066,-0.300743487,,,,,0.65
10,1860,-0.17,-0.248764798,,,,,0.6
11,1861,-0.531,-0.22091623,,,,,0.6
12,1862,-0.083,-0.245595542,,,,,0.7
13,1863,-0.206,-0.232780865,,,,,0.65
14,1864,-0.423,-0.193948103,,,,,0.7
15,1865,-0.038,-0.189251343,,,,,0.6
16,1866,-0.078,-0.184021965,,,,,0.6
17,1867,-0.284,-0.179608259,,,,,0.7
18,1868,-0.157,-0.208455282,,,,,0.65
19,1869,-0.251,-0.220360611,,,,,0.6
20,1870,-0.276,-0.169577427,,,,,0.6
21,1871,-0.281,-0.096418037,,,,,0.7
22,1872,0.212,0.001640595,,,,,0.65
23,1873,0.111,0.082793256,,,,,0.7
24,1874,-0.75,0.095755858,,,,,0.6
25,1875,0.447,0.067241978,,,,,0.6
26,1876,-0.137,0.023428307,,,,,0.7
27,1877,-0.056,-0.064912303,,,,,0.65
28,1878,-0.116,-0.161729716,,,,,0.7
29,1879,-0.343,-0.216677987,,,,,0.6
30,1880,-0.298,-0.27707989,,,,,0.6
31,1881,-0.137,-0.329816961,,,,,0.7
32,1882,-0.565,-0.354164272,,,,,0.65
33,1883,-0.321,-0.337330533,,,,,0.6
34,1884,-0.559,-0.301045602,,,,,0.6
35,1885,-0.038,-0.319957992,,,,,0.7
36,1886,0.181,-0.378071725,,,,,0.65
37,1887,-0.55,-0.459643216,,,,,0.7
38,1888,-0.82,-0.561308805,,,,,0.6
39,1889,0.25,-0.687262081,,,,,0.6
40,1890,-0.623,-0.743693375,,,,,0.7
41,1891,-0.903,-0.724675541,,,,,0.65
42,1892,-0.812,-0.666414109,,,,,0.65
43,1893,-0.484,-0.614638857,,,,,0.6
