"Lat: -0.5, Long: -11.5, over the ocean",year,obs_anoms,smoothed_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.588,-0.5595470642593408,,,,
1,1851,-0.572,-0.5336054650790436,,,,
2,1852,-0.365,-0.5078858400867114,,,,
3,1853,-0.441,-0.4812396112764471,,,,
4,1854,-0.804,-0.4561714982347139,,,,
5,1855,-0.267,-0.45904014801324633,,,,
6,1856,-0.263,-0.44205339932890014,,,,
7,1857,-0.549,-0.40365179833506937,,,,
8,1858,-0.825,-0.37197008471345827,,,,
9,1859,0.022,-0.35131246024588764,,,,
10,1860,-0.28,-0.3255220933351956,,,,
11,1861,-0.443,-0.29665306837976774,,,,
12,1862,-0.038,-0.28605793240138805,,,,
13,1863,-0.301,-0.2898943297147367,,,,
14,1864,-0.538,-0.2898177165310471,,,,
15,1865,-0.219,-0.28994408678419165,,,,
16,1866,-0.179,-0.2970438138527897,,,,
17,1867,-0.411,-0.29144727451536745,,,,
18,1868,-0.135,-0.28027860316960823,,,,
19,1869,-0.455,-0.25717483256129237,,,,
20,1870,-0.202,-0.21646185083035954,,,,
21,1871,-0.374,-0.1662337866256808,,,,
22,1872,0.051,-0.11335774112789776,,,,
23,1873,0.136,-0.08889521735277452,,,,
24,1874,-0.772,-0.083868713928684,,,,
25,1875,0.457,-0.09008208127428265,,,,
26,1876,-0.232,-0.12495953822823681,,,,
27,1877,-0.275,-0.17745791011967071,,,,
28,1878,-0.078,-0.23048337162283913,,,,
29,1879,-0.319,-0.2873739061371049,,,,
30,1880,-0.453,-0.3339643625034339,,,,
31,1881,-0.229,-0.3816906014964741,,,,
32,1882,-0.579,-0.4029467175762584,,,,
33,1883,-0.338,-0.3861934637810197,,,,
34,1884,-0.796,-0.3813490487683979,,,,
35,1885,-0.157,-0.4015231759108261,,,,
36,1886,0.185,-0.4051956946937566,,,,
37,1887,-0.503,-0.4100606499074376,,,,
38,1888,-0.813,-0.4454385101119221,,,,
39,1889,0.177,-0.5137102795774603,,,,
40,1890,-0.508,-0.5512002204274634,,,,
41,1891,-0.741,-0.5355539620162523,,,,
42,1892,-0.716,-0.5080652389856596,,,,
43,1893,-0.35,-0.4763847862663038,,,,
44,1894,-0.268,-0.4174453370749807,,,,
