"Lat: 89.5, Long: 150.5, over the ocean",year,obs_anoms,smoothed_anoms,rcp26,rcp45,rcp60,rcp85,uncertainty
0,1850,,,,,,,
1,1851,,,,,,,
2,1852,,,,,,,
3,1853,,,,,,,
4,1854,,,,,,,
5,1855,,,,,,,
6,1856,,,,,,,
7,1857,,,,,,,
8,1858,,,,,,,
9,1859,,,,,,,
10,1860,,,,,,,
11,1861,,,,,,,
12,1862,,,,,,,
13,1863,,,,,,,
14,1864,,,,,,,
15,1865,,,,,,,
16,1866,,,,,,,
17,1867,,,,,,,
18,1868,,,,,,,
19,1869,0.076,0.049201822,,,,,0.4
20,1870,,,,,,,
21,1871,,,,,,,
22,1872,,,,,,,
23,1873,,,,,,,
24,1874,0.102,-0.074614164,,,,,0.5
25,1875,-0.364,-0.107354806,,,,,0.6
26,1876,-0.277,-0.077070844,,,,,0.7
27,1877,0.044,-0.077336014,,,,,0.7
28,1878,0.381,-0.060343461,,,,,0.6
29,1879,-0.061,-0.110315637,,,,,0.5
30,1880,-0.435,-0.222395008,,,,,0.6
31,1881,-0.308,-0.319783215,,,,,0.7
32,1882,-0.728,-0.4090738,,,,,0.7
33,1883,0.357,-0.508587755,,,,,0.6
34,1884,-0.701,-0.62317315,,,,,0.5
35,1885,-0.822,-0.75493115,,,,,0.6
36,1886,-0.974,-0.845569417,,,,,0.7
37,1887,-1.357,-0.825884719,,,,,0.7
38,1888,-0.517,-0.76635231,,,,,0.6
39,1889,-0.508,-0.696838462,,,,,0.5
40,1890,-0.504,-0.612390096,,,,,0.6
41,1891,-0.89,-0.555508818,,,,,0.7
42,1892,-0.572,-0.51643213,,,,,0.7
43,1893,-0.206,-0.452492297,,,,,0.6
44,1894,-0.475,-0.374926501,,,,,0.5
45,1895,-0.158,-0.330404313,,,,,0.6
46,1896,-0.49,-0.32538784,,,,,0.7
47,1897,-0.149,-0.304699651,,,,,0.7
48,1898,-0.523,-0.286240692,,,,,0.6
49,1899,-0.089,-0.285658017,,,,,0.5
50,1900,-0.22,-0.309801743,,,,,0.6
51,1901,-0.378,-0.330137109,,,,,0.7
52,1902,-0.416,-0.347543998,,,,,0.7
53,1903,-0.596,-0.378916708,,,,,0.6
54,1904,0.143,-0.334788255,,,,,0.5
55,1905,-0.954,-0.240126688,,,,,0.6
56,1906,-0.064,-0.223585395,,,,,0.7
57,1907,0.473,-0.278599786,,,,,0.7
58,1908,-0.559,-0.346162859,,,,,0.6
59,1909,-0.418,-0.452145968,,,,,0.5
60,1910,-1.105,-0.601186633,,,,,0.6
61,1911,-0.036,-0.697138529,,,,,0.7
62,1912,-1.048,-0.729226969,,,,,0.7
63,1913,-0.772,-0.731593035,,,,,0.6
64,1914,-0.811,-0.786034697,,,,,0.5
65,1915,-0.513,-0.864931479,,,,,0.6
66,1916,-0.897,-0.875583801,,,,,0.7
67,1917,-1.725,-0.771834252,,,,,0.7
68,1918,-0.95,-0.620220716,,,,,0.6
69,1919,-0.053,-0.412502985,,,,,0.5
70,1920,0.236,-0.107034159,,,,,0.6
71,1921,-0.142,0.126924709,,,,,0.7
72,1922,0.361,0.17186193,,,,,0.7
73,1923,0.668,0.123647644,,,,,0.6
74,1924,-0.204,0.056956515,,,,,0.6
75,1925,-0.089,-0.026121832,,,,,0.7
76,1926,-0.339,-0.067162024,,,,,0.7
77,1927,-0.077,-0.001193621,,,,,0.6
78,1928,0.306,0.164206458,,,,,0.5
79,1929,0.025,0.345967051,,,,,0.6
80,1930,0.949,0.494323343,,,,,0.7
81,1931,0.633,0.636573601,,,,,0.7
82,1932,0.522,0.721595128,,,,,0.6
83,1933,1.084,0.67119969,,,,,0.5
84,1934,0.796,0.619628348,,,,,0.6
85,1935,0.18,0.650585633,,,,,0.7
86,1936,0.187,0.664377583,,,,,0.7
87,1937,1.499,0.673481874,,,,,0.6
88,1938,2.539,0.779108094,,,,,0.5
89,1939,0.277,0.816892278,,,,,0.5
90,1940,1.514,0.729511627,,,,,0.55
91,1941,-0.296,0.692883345,,,,,0.6
92,1942,0.797,0.7541308,,,,,0.45
93,1943,0.601,0.779211098,,,,,0.5
94,1944,1.225,0.803337806,,,,,0.55
95,1945,1.04,0.758648941,,,,,0.6
96,1946,0.335,0.566033953,,,,,0.5
97,1947,2.338,0.404246833,,,,,0.5
98,1948,-1.619,0.232183782,,,,,0.55
99,1949,-0.032,0.100674419,,,,,0.6
100,1950,0.226,0.172871383,,,,,0.45
101,1951,-0.164,0.517374013,,,,,0.5
102,1952,1.447,0.75883241,,,,,0.55
103,1953,1.202,0.900882147,,,,,0.5
104,1954,1.301,0.935096715,,,,,0.55
105,1955,0.391,0.750084837,,,,,0.6
106,1956,0.829,0.535056998,,,,,0.45
107,1957,-0.188,0.427242517,,,,,0.5
108,1958,0.211,0.386842017,,,,,0.55
109,1959,0.662,0.301952493,,,,,0.6
110,1960,0.704,0.199095003,,,,,0.5
111,1961,-0.132,-0.031175268,,,,,0.5
112,1962,-0.361,-0.271852663,,,,,0.55
113,1963,-1.864,-0.337845261,,,,,0.6
114,1964,-1.002,-0.32591972,,,,,0.45
115,1965,0.319,-0.278146613,,,,,0.5
116,1966,-0.012,-0.144097842,,,,,0.55
117,1967,0.081,-0.068785409,,,,,0.45
118,1968,-0.428,-0.118988371,,,,,0.5
119,1969,0.174,-0.131034882,,,,,0.55
120,1970,-0.753,-0.083156143,,,,,0.5
121,1971,0.097,-0.067105642,,,,,0.55
122,1972,0.638,-0.064491508,,,,,0.6
123,1973,-0.649,-0.076168891,,,,,0.45
124,1974,0.288,-0.137929896,,,,,0.5
125,1975,-0.806,-0.23244377,,,,,0.55
126,1976,0.174,-0.287893092,,,,,0.6
127,1977,-0.619,-0.370532253,,,,,0.5
128,1978,-0.111,-0.386472086,,,,,0.5
129,1979,-1.122,-0.34645921,,,,,0.55
130,1980,-0.307,-0.335079271,,,,,0.6
131,1981,0.637,-0.29515511,,,,,0.45
132,1982,-0.626,-0.140995101,,,,,0.5
133,1983,-0.276,-0.056283114,,,,,0.55
134,1984,1.236,-0.141839244,,,,,0.6
135,1985,0.457,-0.195414811,,,,,0.45
136,1986,-0.789,-0.229782842,,,,,0.5
137,1987,-0.652,-0.381883893,,,,,0.55
138,1988,-0.311,-0.354037514,,,,,0.6
139,1989,-0.63,-0.176732556,,,,,0.5
140,1990,1.097,-0.099445759,,,,,0.5
141,1991,0.46,-0.028339452,,,,,0.55
142,1992,-0.874,0.081971186,,,,,0.6
143,1993,-0.013,0.124642254,,,,,0.45
144,1994,0.151,0.214625817,,,,,0.5
145,1995,0.637,0.395651728,,,,,0.55
146,1996,0.762,0.605432199,,,,,0.45
147,1997,0.06,0.757099191,,,,,0.5
148,1998,1.787,0.86469106,,,,,0.55
149,1999,0.792,0.979446708,1.457,1.491,1.547,1.442,0.5
150,2000,1.136,1.066936424,1.282,1.546,1.373,1.422,0.55
151,2001,1.246,0.994969492,1.536,1.692,1.747,1.534,0.6
152,2002,1.014,1.026653045,1.821,1.845,1.778,1.661,0.45
153,2003,0.029,1.339334024,1.709,1.798,1.953,1.645,0.5
154,2004,0.107,1.662447964,1.693,1.794,1.708,1.69,0.55
155,2005,2.302,1.933360805,2.039,2.105,1.949,2.042,0.6
156,2006,3.203,2.302658743,2,2.101,1.921,2.241,0.5
157,2007,2.526,2.515543776,1.936,2.179,1.909,2.117,0.5
158,2008,1.948,2.678327745,2.2,2.011,1.971,2.305,0.55
159,2009,2.716,2.854537139,2.111,2.08,1.99,2.157,0.6
160,2010,3.467,3.139229813,2.311,2.197,1.931,2.179,0.45
161,2011,3.387,3.227901617,2.253,2.23,2.565,2.333,0.5
162,2012,3.913,2.973349015,2.357,2.295,2.415,2.284,0.55
163,2013,1.074,2.698400006,2.5,2.56,2.438,2.349,0.5
164,2014,2.008,2.365460851,2.58,2.621,2.827,2.515,0.5
165,2015,2.058,2.35960832,2.81,2.249,2.408,2.531,0.45
166,2016,4.315,2.437648736,2.651,2.525,2.772,2.534,0.5
167,2017,1.961,2.557520728,2.568,2.567,2.531,2.759,0.55
168,2018,3.372,2.716117997,2.759,2.687,2.841,2.835,0.5
169,2019,,,2.916,2.61,2.81,2.802,
170,2020,,,2.911,3.026,2.805,2.973,
171,2021,,,2.978,2.901,2.791,3.185,
172,2022,,,3.105,3.039,2.507,3.334,
173,2023,,,3.068,3.386,2.922,3.393,
174,2024,,,3.21,3.336,2.997,3.716,
175,2025,,,3.338,3.422,2.988,3.635,
176,2026,,,3.32,3.542,3.291,3.598,
177,2027,,,3.268,3.739,3.288,3.687,
178,2028,,,3.347,3.737,3.341,3.924,
179,2029,,,3.316,3.784,3.734,4.019,
180,2030,,,3.329,3.654,3.346,3.909,
181,2031,,,3.216,3.864,3.76,3.745,
182,2032,,,3.572,3.858,3.843,4.036,
183,2033,,,3.482,3.873,3.506,4.332,
184,2034,,,3.722,3.838,3.771,4.043,
185,2035,,,3.581,4.078,3.863,4.559,
186,2036,,,3.713,4.149,3.515,4.52,
